,radius,theta,phi,value
0,0.0,0.0,0.0,1.0000000000006293
1,0.0,1.8,0.0,1.0000000000006293
2,0.0,3.6,0.0,1.0000000000006293
3,0.0,5.4,0.0,1.0000000000006293
4,0.0,7.2,0.0,1.0000000000006293
5,0.0,9.0,0.0,1.0000000000006293
6,0.0,10.8,0.0,1.0000000000006293
7,0.0,12.6,0.0,1.0000000000006293
8,0.0,14.4,0.0,1.0000000000006293
9,0.0,16.2,0.0,1.0000000000006293
10,0.0,18.0,0.0,1.0000000000006293
11,0.0,19.8,0.0,1.0000000000006293
12,0.0,21.6,0.0,1.0000000000006293
13,0.0,23.4,0.0,1.0000000000006293
14,0.0,25.2,0.0,1.0000000000006293
15,0.0,27.0,0.0,1.0000000000006293
16,0.0,28.8,0.0,1.0000000000006293
17,0.0,30.6,0.0,1.0000000000006293
18,0.0,32.4,0.0,1.0000000000006293
19,0.0,34.2,0.0,1.0000000000006293
20,0.0,36.0,0.0,1.0000000000006293
21,0.0,37.8,0.0,1.0000000000006293
22,0.0,39.6,0.0,1.0000000000006293
23,0.0,41.4,0.0,1.0000000000006293
24,0.0,43.2,0.0,1.0000000000006293
25,0.0,45.0,0.0,1.0000000000006293
26,0.0,46.8,0.0,1.0000000000006293
27,0.0,48.6,0.0,1.0000000000006293
28,0.0,50.4,0.0,1.0000000000006293
29,0.0,52.2,0.0,1.0000000000006293
30,0.0,54.0,0.0,1.0000000000006293
31,0.0,55.8,0.0,1.0000000000006293
32,0.0,57.6,0.0,1.0000000000006293
33,0.0,59.4,0.0,1.0000000000006293
34,0.0,61.2,0.0,1.0000000000006293
35,0.0,63.0,0.0,1.0000000000006293
36,0.0,64.8,0.0,1.0000000000006293
37,0.0,66.6,0.0,1.0000000000006293
38,0.0,68.4,0.0,1.0000000000006293
39,0.0,70.2,0.0,1.0000000000006293
40,0.0,72.0,0.0,1.0000000000006293
41,0.0,73.8,0.0,1.0000000000006293
42,0.0,75.6,0.0,1.0000000000006293
43,0.0,77.4,0.0,1.0000000000006293
44,0.0,79.2,0.0,1.0000000000006293
45,0.0,81.0,0.0,1.0000000000006293
46,0.0,82.8,0.0,1.0000000000006293
47,0.0,84.6,0.0,1.0000000000006293
48,0.0,86.4,0.0,1.0000000000006293
49,0.0,88.2,0.0,1.0000000000006293
50,0.0,90.0,0.0,1.0000000000006293
51,0.0,91.8,0.0,1.0000000000006293
52,0.0,93.6,0.0,1.0000000000006293
53,0.0,95.4,0.0,1.0000000000006293
54,0.0,97.2,0.0,1.0000000000006293
55,0.0,99.0,0.0,1.0000000000006293
56,0.0,100.8,0.0,1.0000000000006293
57,0.0,102.6,0.0,1.0000000000006293
58,0.0,104.4,0.0,1.0000000000006293
59,0.0,106.2,0.0,1.0000000000006293
60,0.0,108.0,0.0,1.0000000000006293
61,0.0,109.8,0.0,1.0000000000006293
62,0.0,111.6,0.0,1.0000000000006293
63,0.0,113.4,0.0,1.0000000000006293
64,0.0,115.2,0.0,1.0000000000006293
65,0.0,117.0,0.0,1.0000000000006293
66,0.0,118.8,0.0,1.0000000000006293
67,0.0,120.6,0.0,1.0000000000006293
68,0.0,122.4,0.0,1.0000000000006293
69,0.0,124.2,0.0,1.0000000000006293
70,0.0,126.0,0.0,1.0000000000006293
71,0.0,127.8,0.0,1.0000000000006293
72,0.0,129.6,0.0,1.0000000000006293
73,0.0,131.4,0.0,1.0000000000006293
74,0.0,133.2,0.0,1.0000000000006293
75,0.0,135.0,0.0,1.0000000000006293
76,0.0,136.8,0.0,1.0000000000006293
77,0.0,138.6,0.0,1.0000000000006293
78,0.0,140.4,0.0,1.0000000000006293
79,0.0,142.2,0.0,1.0000000000006293
80,0.0,144.0,0.0,1.0000000000006293
81,0.0,145.8,0.0,1.0000000000006293
82,0.0,147.6,0.0,1.0000000000006293
83,0.0,149.4,0.0,1.0000000000006293
84,0.0,151.2,0.0,1.0000000000006293
85,0.0,153.0,0.0,1.0000000000006293
86,0.0,154.8,0.0,1.0000000000006293
87,0.0,156.6,0.0,1.0000000000006293
88,0.0,158.4,0.0,1.0000000000006293
89,0.0,160.2,0.0,1.0000000000006293
90,0.0,162.0,0.0,1.0000000000006293
91,0.0,163.8,0.0,1.0000000000006293
92,0.0,165.6,0.0,1.0000000000006293
93,0.0,167.4,0.0,1.0000000000006293
94,0.0,169.2,0.0,1.0000000000006293
95,0.0,171.0,0.0,1.0000000000006293
96,0.0,172.8,0.0,1.0000000000006293
97,0.0,174.6,0.0,1.0000000000006293
98,0.0,176.4,0.0,1.0000000000006293
99,0.0,178.2,0.0,1.0000000000006293
100,0.0,180.0,0.0,1.0000000000006293
101,100.0,180.0,0.0,1.000158540809334
102,200.0,180.0,0.0,0.9981227171352969
103,300.0,180.0,0.0,0.99561321194479
104,400.0,180.0,0.0,0.9916480489526946
105,500.0,180.0,0.0,0.9847964233993681
106,550.0,180.0,0.0,0.9805537814134039
