,radius,theta,value
0,0.0,0.9,0.9999991992971459
1,0.0,1.8,0.999999198843174
2,0.0,2.7,0.9999991985697168
3,0.0,3.6,0.9999991984541897
4,0.0,4.5,0.9999991984740099
5,0.0,5.4,0.9999991986065925
6,0.0,6.3,0.9999991988293535
7,0.0,7.2,0.9999991991197097
8,0.0,8.1,0.9999991994550763
9,0.0,9.0,0.9999991998128691
10,0.0,9.9,0.9999992001705047
11,0.0,10.8,0.9999992005053986
12,0.0,11.7,0.9999992007949674
13,0.0,12.6,0.9999992010166263
14,0.0,13.5,0.9999992011477917
15,0.0,14.4,0.9999992011658797
16,0.0,15.3,0.9999992010483062
17,0.0,16.2,0.9999992007724868
18,0.0,17.1,0.999999200315838
19,0.0,18.0,0.9999991996557756
20,0.0,18.9,0.9999992113644012
21,0.0,19.8,0.999999226482035
22,0.0,20.7,0.9999992416330187
23,0.0,21.6,0.9999992569648175
24,0.0,22.5,0.9999992726248976
25,0.0,23.4,0.9999992887607252
26,0.0,24.3,0.9999993055197653
27,0.0,25.2,0.9999993230494842
28,0.0,26.1,0.9999993507341809
29,0.0,27.0,0.9999994006653662
30,0.0,27.9,0.9999994494922583
31,0.0,28.8,0.9999994975699881
32,0.0,29.7,0.9999995452536858
33,0.0,30.6,0.9999995928984824
34,0.0,31.5,0.9999996408595084
35,0.0,32.4,0.9999996470673469
36,0.0,33.3,0.9999996336022057
37,0.0,34.2,0.9999996202170889
38,0.0,35.1,0.999999606491093
39,0.0,36.0,0.9999995920033139
40,0.0,36.9,0.9999995743204974
41,0.0,37.8,0.9999995188105922
42,0.0,38.7,0.9999994645013872
43,0.0,39.6,0.9999994109171056
44,0.0,40.5,0.9999993575819724
45,0.0,41.4,0.9999993040202109
46,0.0,42.3,0.9999993414498615
47,0.0,43.2,0.9999993795198887
48,0.0,44.1,0.9999994176656107
49,0.0,45.0,0.9999994562784373
50,0.0,45.9,0.9999995011121622
51,0.0,46.8,0.999999554524259
52,0.0,47.7,0.9999996073794741
53,0.0,48.6,0.9999996599019604
54,0.0,49.5,0.9999997110330082
55,0.0,50.4,0.9999997368931116
56,0.0,51.3,0.9999997629556431
57,0.0,52.2,0.9999997893078051
58,0.0,53.1,0.9999998160368
59,0.0,54.0,0.9999998384301653
60,0.0,54.9,0.9999998601070954
61,0.0,55.8,0.9999998814670065
62,0.0,56.7,0.9999999011402749
63,0.0,57.6,0.9999999099618415
64,0.0,58.5,0.9999999190743303
65,0.0,59.4,0.9999999284306446
66,0.0,60.3,0.9999999539721077
67,0.0,61.2,1.000000010153198
68,0.0,62.1,1.0000000661223607
69,0.0,63.0,1.0000001220357355
70,0.0,63.9,1.0000001372095584
71,0.0,64.8,1.0000001361722644
72,0.0,65.7,1.0000001351326226
73,0.0,66.6,1.0000001343919083
74,0.0,67.5,1.0000001362587863
75,0.0,68.4,1.0000001381778962
76,0.0,69.3,1.0000001400404437
77,0.0,70.2,1.0000001748149638
78,0.0,71.1,1.000000219850731
79,0.0,72.0,1.0000002651032418
80,0.0,72.9,1.000000310146348
81,0.0,73.8,1.0000003533909136
82,0.0,74.7,1.0000003963855193
83,0.0,75.6,1.0000004304194863
84,0.0,76.5,1.0000003692492874
85,0.0,77.4,1.0000003080990083
86,0.0,78.3,1.0000002467163893
87,0.0,79.2,1.0000002098299006
88,0.0,80.1,1.000000179311784
89,0.0,81.0,1.0000001490873467
90,0.0,81.9,1.0000001710722877
91,0.0,82.8,1.000000228841519
92,0.0,83.7,1.0000002864395487
93,0.0,84.6,1.000000330765852
94,0.0,85.5,1.0000003527393508
95,0.0,86.4,1.000000374727
96,0.0,87.3,1.00000038875909
97,0.0,88.2,1.0000003675445348
98,0.0,89.1,1.0000003463302787
99,0.0,90.0,1.0000003249898197
100,0.0,90.9,1.0000003591660918
101,0.0,91.8,1.0000003931598147
102,0.0,92.7,1.0000004271585508
103,0.0,93.6,1.0000004072617361
104,0.0,94.5,1.0000003751529367
105,0.0,95.4,1.0000003430111009
106,0.0,96.3,1.0000003505912547
107,0.0,97.2,1.0000003824640844
108,0.0,98.1,1.0000004143597239
109,0.0,99.0,1.0000004326639884
110,0.0,99.9,1.0000004317613602
111,0.0,100.8,1.0000004308654644
112,0.0,101.7,1.0000004327444725
113,0.0,102.6,1.00000044645236
114,0.0,103.5,1.0000004601354338
115,0.0,104.4,1.000000473838619
116,0.0,105.3,1.000000438545668
117,0.0,106.2,1.0000003986231416
118,0.0,107.1,1.0000003586160338
119,0.0,108.0,1.0000003236386636
120,0.0,108.9,1.000000292086062
121,0.0,109.8,1.0000002605902
122,0.0,110.7,1.0000002246475475
123,0.0,111.6,1.0000001746621452
124,0.0,112.5,1.000000124697086
125,0.0,113.4,1.0000000748709865
126,0.0,114.3,1.0000000871274415
127,0.0,115.2,1.0000001142402855
128,0.0,116.1,1.0000001412802655
129,0.0,117.0,1.0000001492081707
130,0.0,117.9,1.0000001094618725
131,0.0,118.8,1.0000000697218119
132,0.0,119.7,1.0000000299046212
133,0.0,120.6,1.000000011261455
134,0.0,121.5,1.0000000033640828
135,0.0,122.4,0.9999999955576325
136,0.0,123.3,0.9999999878567396
137,0.0,124.2,0.999999931322981
138,0.0,125.1,0.9999998704887028
139,0.0,126.0,0.9999998094953811
140,0.0,126.9,0.9999997494498126
141,0.0,127.8,0.9999997292593339
142,0.0,128.7,0.9999997091477674
143,0.0,129.6,0.9999996895274573
144,0.0,130.5,0.9999996708107488
145,0.0,131.4,0.9999997335800411
146,0.0,132.3,0.9999997987434851
147,0.0,133.2,0.9999998633255396
148,0.0,134.1,0.999999927617972
149,0.0,135.0,0.9999999310443214
150,0.0,135.9,0.9999999002469602
151,0.0,136.8,0.9999998697329876
152,0.0,137.7,0.9999998394259139
153,0.0,138.6,0.9999998093412633
154,0.0,139.5,0.9999997920563648
155,0.0,140.4,0.9999997746974653
156,0.0,141.3,0.9999997571386234
157,0.0,142.2,0.9999997392538985
158,0.0,143.1,0.9999997209173496
159,0.0,144.0,0.9999996513657402
160,0.0,144.9,0.9999995805296537
161,0.0,145.8,0.9999995100015231
162,0.0,146.7,0.9999994395078465
163,0.0,147.6,0.9999993687751212
164,0.0,148.5,0.9999993208131658
165,0.0,149.4,0.9999993221337654
166,0.0,150.3,0.9999993232694313
167,0.0,151.2,0.9999993246092398
168,0.0,152.1,0.9999993265422684
169,0.0,153.0,0.9999993294575942
170,0.0,153.9,0.9999993337442946
171,0.0,154.8,0.9999993372344916
172,0.0,155.7,0.9999993385128311
173,0.0,156.6,0.9999993390051769
174,0.0,157.5,0.9999993387091011
175,0.0,158.4,0.9999993376221735
176,0.0,159.3,0.9999993357419668
177,0.0,160.2,0.9999993330660514
178,0.0,161.1,0.999999329591999
179,0.0,162.0,0.999999324497489
180,0.0,162.9,0.9999993163602947
181,0.0,163.8,0.9999993076267941
182,0.0,164.7,0.9999992984657194
183,0.0,165.6,0.9999992890458034
184,0.0,166.5,0.9999992795357773
185,0.0,167.4,0.9999992701043736
186,0.0,168.3,0.9999992609203248
187,0.0,169.2,0.9999992521523625
188,0.0,170.1,0.9999992439692195
189,0.0,171.0,0.9999992365396276
190,0.0,171.9,0.9999992300323189
191,0.0,172.8,0.9999992246160258
192,0.0,173.7,0.9999992204594803
193,0.0,174.6,0.9999992177314151
194,0.0,175.5,0.9999992166005619
195,0.0,176.4,0.9999992172356525
196,0.0,177.3,0.9999992198054198
197,0.0,178.2,0.999999224478596
198,0.0,179.1,0.999999231423913
199,0.0,0.0,0.9999991998704771
200,4.5,0.0,0.9999639330898642
201,9.0,0.0,0.9999278324753479
202,13.5,0.0,0.9998916389313071
203,18.0,0.0,0.9998552788175789
204,22.5,0.0,0.9998186784939983
205,27.0,0.0,0.9997817643204029
206,31.5,0.0,0.9997444626566283
207,36.0,0.0,0.9997066998625118
208,40.5,0.0,0.9996684022978884
209,45.0,0.0,0.9996294963225957
210,49.5,0.0,0.9995899082964694
211,54.0,0.0,0.999549564579346
212,58.5,0.0,0.9995083915310619
213,63.0,0.0,0.9994663155114535
214,67.5,0.0,0.9994232628803572
215,72.0,0.0,0.9993791599976096
216,76.5,0.0,0.9993339332230468
217,81.0,0.0,0.999287508916505
218,85.5,0.0,0.9992398134378205
219,90.0,0.0,0.9991907731468304
220,94.5,0.0,0.9991403144033705
221,99.0,0.0,0.9990883635672774
222,103.5,0.0,0.9990348469983871
223,108.0,0.0,0.9989796910565366
224,112.5,0.0,0.9989228221015615
225,117.0,0.0,0.9988641664932989
226,121.5,0.0,0.9988036505915845
227,126.0,0.0,0.9987412007562554
228,130.5,0.0,0.9986767433471471
229,135.0,0.0,0.9986102047240971
230,139.5,0.0,0.9985415112469406
231,144.0,0.0,0.998470589275515
232,148.5,0.0,0.9983973651696558
233,153.0,0.0,0.9983217652891999
234,157.5,0.0,0.9982438237556451
235,162.0,0.0,0.9981634298448578
236,166.5,0.0,0.9980804429836494
237,171.0,0.0,0.9979947997615032
238,175.5,0.0,0.9979064367679024
239,180.0,0.0,0.9978152905923303
240,184.5,0.0,0.9977212978242693
241,189.0,0.0,0.9976243950532027
242,193.5,0.0,0.997524518868614
